,image_id,width,height,bbox,source
75394,80c30181b,1024,1024,"[33.0, 455.0, 187.0, 80.0]",ethz_1
87605,32a203fe5,1024,1024,"[760.0, 916.0, 96.0, 46.0]",ethz_1
71421,bf48d8c97,1024,1024,"[323.0, 42.0, 65.0, 99.0]",ethz_1
57914,c3e712a5d,1024,1024,"[311.0, 943.0, 86.0, 52.0]",ethz_1
2348,684a2c62a,1024,1024,"[218.0, 615.0, 73.0, 122.0]",usask_1
128081,d8d946295,1024,1024,"[636.0, 1.0, 72.0, 98.0]",rres_1
14174,3c0d9abaa,1024,1024,"[735.0, 563.0, 77.0, 77.0]",arvalis_1
14342,d03bcfba1,1024,1024,"[707.0, 609.0, 156.0, 119.0]",arvalis_1
60202,a20516192,1024,1024,"[872.0, 43.0, 78.0, 65.0]",ethz_1
129027,d0ca0d7a0,1024,1024,"[1009.0, 796.0, 15.0, 44.0]",rres_1
95677,7d827f03c,1024,1024,"[204.0, 674.0, 36.0, 109.0]",ethz_1
20149,85c9f89e3,1024,1024,"[402.0, 916.0, 84.0, 90.0]",arvalis_1
126471,224017b57,1024,1024,"[494.0, 709.0, 101.0, 71.0]",rres_1
103086,e4074a235,1024,1024,"[696.0, 263.0, 88.0, 85.0]",ethz_1
6362,8549afcd5,1024,1024,"[617.0, 661.0, 85.0, 70.0]",arvalis_1
19367,06a78c36e,1024,1024,"[505.0, 631.0, 67.0, 53.0]",arvalis_1
100414,77f6e7caf,1024,1024,"[562.0, 18.0, 64.0, 67.0]",ethz_1
79961,041707ba8,1024,1024,"[290.0, 845.0, 63.0, 46.0]",ethz_1
80869,c0e168cd3,1024,1024,"[286.0, 499.0, 118.0, 85.0]",ethz_1
125140,3ae057d35,1024,1024,"[506.0, 495.0, 60.0, 72.0]",rres_1
86697,e60d70a8f,1024,1024,"[886.0, 954.0, 109.0, 50.0]",ethz_1
10712,b95fd89e3,1024,1024,"[511.0, 961.0, 69.0, 63.0]",arvalis_1
18422,148075f03,1024,1024,"[25.0, 527.0, 80.0, 44.0]",arvalis_1
13726,f75905272,1024,1024,"[180.0, 56.0, 45.0, 36.0]",arvalis_1
129755,772287113,1024,1024,"[400.0, 577.0, 74.0, 73.0]",rres_1
32512,c5c9bdea8,1024,1024,"[213, 863, 46, 105]",arvalis_1
3985,8947f1a02,1024,1024,"[762.0, 1.0, 73.0, 22.0]",usask_1
104436,4fc5adf2d,1024,1024,"[370.0, 491.0, 62.0, 71.0]",ethz_1
111239,f02cb9a6a,1024,1024,"[0.0, 263.0, 138.0, 72.0]",arvalis_3
